x_mm,y_mm
46.846,0.000
46.829,3.505
46.681,5.255
46.663,6.673
46.542,7.892
46.521,9.007
46.570,10.055
46.375,10.986
46.224,11.874
46.019,12.704
45.753,13.479
45.615,14.262
45.398,14.996
45.152,15.699
44.704,16.309
44.349,16.933
44.020,17.550
43.751,18.180
43.422,18.776
43.029,19.335
42.593,19.865
42.125,20.372
41.749,20.919
41.160,21.353
40.612,21.802
40.094,22.264
39.370,22.607
38.707,22.978
38.133,23.401
37.498,23.789
36.776,24.123
35.989,24.412
35.116,24.642
34.394,24.980
33.496,25.194
32.624,25.431
31.779,25.696
30.870,25.919
29.893,26.095
28.878,26.249
27.848,26.403
26.903,26.660
25.825,26.814
24.744,26.997
23.611,27.166
22.386,27.278
21.048,27.304
19.653,27.323
18.231,27.394
16.680,27.398
14.994,27.346
13.120,27.185
11.076,27.043
8.698,26.771
5.784,26.497
0.000,25.936
-5.784,25.314
-8.687,25.001
-11.000,24.712
-13.038,24.535
-14.831,24.301
-16.470,24.082
-18.092,24.008
-19.559,23.847
-20.859,23.587
-22.193,23.445
-23.442,23.272
-24.639,23.098
-25.803,22.932
-26.925,22.761
-28.022,22.594
-28.965,22.330
-29.946,22.117
-30.970,21.951
-31.880,21.717
-32.663,21.411
-33.604,21.219
-34.376,20.929
-35.247,20.705
-36.039,20.438
-36.833,20.176
-37.432,19.810
-38.065,19.468
-38.688,19.123
-39.468,18.855
-39.897,18.419
-40.393,18.015
-40.876,17.607
-41.343,17.190
-41.848,16.785
-42.283,16.347
-42.674,15.888
-43.141,15.450
-43.529,14.976
-44.034,14.530
-44.434,14.037
-44.764,13.509
-45.074,12.960
-45.308,12.374
-45.694,11.809
-45.989,11.197
-46.213,10.541
-46.324,9.831
-46.480,9.096
-46.628,8.316
-46.931,7.505
-47.108,6.597
-47.296,5.585
-47.174,4.385
-47.237,2.919
-47.201,0.000
-47.230,-2.919
-47.020,-4.371
-47.023,-5.553
-46.851,-6.561
-46.575,-7.448
-46.297,-8.257
-46.228,-9.047
-46.083,-9.780
-45.969,-10.485
-45.847,-11.162
-45.736,-11.820
-45.450,-12.413
-45.112,-12.971
-44.988,-13.576
-44.759,-14.140
-44.531,-14.695
-44.086,-15.168
-43.636,-15.628
-43.046,-16.027
-42.694,-16.506
-42.215,-16.932
-41.693,-17.335
-41.051,-17.682
-40.493,-18.060
-39.814,-18.380
-39.230,-18.741
-38.647,-19.103
-38.169,-19.521
-37.409,-19.798
-36.651,-20.076
-35.885,-20.351
-35.093,-20.614
-34.316,-20.892
-33.577,-21.202
-32.778,-21.486
-31.898,-21.729
-30.896,-21.899
-29.975,-22.139
-28.965,-22.330
-27.983,-22.563
-26.985,-22.812
-25.845,-22.970
-24.663,-23.120
-23.450,-23.280
-22.189,-23.440
-20.908,-23.641
-19.521,-23.800
-18.101,-24.020
-16.577,-24.239
-14.915,-24.440
-13.133,-24.715
-11.071,-24.872
-8.745,-25.167
-5.817,-25.460
-0.000,-26.035
5.821,-26.667
8.763,-26.971
11.123,-27.157
13.158,-27.262
14.991,-27.341
16.713,-27.453
18.256,-27.433
19.758,-27.469
21.127,-27.408
22.483,-27.396
23.738,-27.312
24.976,-27.250
26.121,-27.121
27.153,-26.908
28.229,-26.763
29.281,-26.615
30.207,-26.370
31.190,-26.188
32.008,-25.881
32.910,-25.654
33.628,-25.293
34.488,-25.048
35.259,-24.742
35.959,-24.392
36.613,-24.016
37.280,-23.651
37.937,-23.281
38.634,-22.935
39.176,-22.495
39.835,-22.121
40.435,-21.707
41.028,-21.285
41.611,-20.850
42.131,-20.375
42.579,-19.859
43.062,-19.349
43.325,-18.734
43.753,-18.181
44.092,-17.579
44.415,-16.958
44.724,-16.316
44.968,-15.635
45.289,-14.960
45.613,-14.261
45.793,-13.491
46.118,-12.731
46.262,-11.883
46.420,-10.997
46.445,-10.028
46.562,-9.015
46.842,-7.943
46.738,-6.684
46.856,-5.275
46.865,-3.508
