doc_id,assignee,year,legal_status,title,wear_snippet
CN120156143A,"SHANDONG FENGYUAN TIRE MFG CO LTD (ZAOZHUANG CITY, CN)",2025,ALIVE,"Reinforcing layer cord fabric, three-proofing tire with angle reinforcement and preparation method",
CN118958019A,"SHANDONG HUASHENG RUBBER CO LTD (DONGYING CITY, CN)",2024,ALIVE,Processing method of cord thread for reinforcing layer of semi-steel radial tire and tire for new energy automobile,
EP4335661A1,SUMITOMO RUBBER IND LTD,2022,ALIVE,TIRE,"The reinforced belt layer ensures structural integrity and reduces the likelihood of breakage, extending tire life."
EP3912833A1,"CONTINENTAL REIFEN DEUTSCHLAND GMBH (30165 HANNOVER, DE)",2020,ALIVE,PNEUMATIC TYRE,
CN114103555A,SUMITOMO RUBBER IND LTD,2020,ALIVE,Tire,
JP2020185987A,THE GOODYEAR TIRE & RUBBER CO,2019,DEAD,RADIAL TIRE,
JP2020200032A,THE GOODYEAR TIRE & RUBBER CO,2019,ALIVE,RADIAL TIRE,
WO2021124186A1,BRIDGESTONE EUROPE NVSA,2019,DEAD,TYRE WITH BELT PACKAGE REINFORCEMENT ELEMENT,
WO2018230265A1,BRIDGESTONE CORP,2017,DEAD,TIRE,"The present invention addresses the problem of suppressing the occurrence, in a tire having a spiral cord layer formed by winding a reinforcement cord in a spiral shape, of uneven wear due to the spiral cord layer."
DE102016223304B4,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2016,ALIVE,2Vehicle pneumatic tyres,"The belt bandage is applied in a single layer, with the side sections arranged to provide a more uniform abrasion and improved rolling resistance compared to the center section."
KR20170085878A,HYOSUNG CORP,2016,DEAD,A Hybird Dipped cord and Radial tire Using the Same,
WO2018051763A1,YOKOHAMA RUBBER CO LTD,2016,DEAD,PNEUMATIC TIRE,
CN109070639A,YOKOHAMA RUBBER CO LTD,2016,ALIVE,Pneumatic tire,
CN109070640A,YOKOHAMA RUBBER CO LTD,2016,ALIVE,PNEUMATIC TIRE,
WO2018100960A1,BRIDGESTONE CORP,2016,DEAD,"RUBBER–CORD COMPOSITE, REINFORCING MEMBER FOR TIRES, AND TIRE USING SAME",
WO2018100961A1,BRIDGESTONE CORP,2016,DEAD,"RUBBER–CORD COMPOSITE, REINFORCING MEMBER FOR TIRES, AND TIRE USING SAME",
JP2017186002A,BRIDGESTONE CORP,2016,ALIVE,PNEUMATIC TIRE,
WO2017188408A1,BRIDGESTONE CORP,2016,DEAD,RUN FLAT RADIAL TIRE,
US20160288574A1,THE GOODYEAR TIRE & RUBBER CO,2015,DEAD,CROWN REINFORCEMENT FOR A PNEUMATIC TIRE,
WO2017048208A1,KORDSA GLOBAL ENDUSTRIYEL IPLIK VE KORD BEZI SANAYI VE TICARET AS,2015,DEAD,A PLIED TWISTED CAP PLY REINFORCEMENT HYBRID YARN,
WO2016190152A1,BRIDGESTONE CORP,2015,DEAD,"REINFORCEMENT MEMBER FOR TIRES, AND TIRE USING SAME",
US20160288573A1,THE GOODYEAR TIRE & RUBBER CO,2015,DEAD,CONTINUOUS CROWN REINFORCEMENT FOR A PNEUMATIC TIRE,
WO2016202702A1,MICHELIN & CIE,2015,DEAD,PNEUMATIC TIRE HAVING A CROWN THAT COMPRISES A REINFORCEMENT PLY AND A HIGH-TRACTION TREAD,
WO2015163325A1,SUMITOMO RUBBER IND LTD,2014,DEAD,"PNEUMATIC TIRE, AND PNEUMATIC TIRE PRODUCTION METHOD",
WO2015178366A1,YOKOHAMA RUBBER CO LTD,2014,DEAD,PNEUMATIC TIRE,
DE102013105163A1,CONTINENTAL REIFEN DEUTSCHLAND,2013,DEAD,Pneumatic vehicle tires and use of a yarn of a textile material,
CN105026187A,"COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN FRANCE CORP (CLERMONT-FERRAND, FR)",2013,DEAD,Self-sealing tyre comprising additional sidewall reinforcement,
JP2013220755A,BRIDGESTONE CORP,2012,DEAD,PNEUMATIC RADIAL TIRE AND METHOD OF MANUFACTURING THE SAME,
WO2014091429A1,PIRELLI SPA,2012,DEAD,TYRE FOR VEHICLE WHEELS,
JP2013001390A,THE GOODYEAR TIRE & RUBBER CO,2011,ALIVE,RADIAL TIRE FOR AIRCRAFT,
DE102010000013A1,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2010,DEAD,Vehicle tires,
EP2380755A2,THE GOODYEAR TIRE & RUBBER CO,2010,ALIVE,Overlay ply covering the belt ply for a pneumatic tire,
EP2380754A2,THE GOODYEAR TIRE & RUBBER CO,2010,DEAD,Hybrid cord in a belt ply for a pneumatic tire,
KR20110050216A,KUMHO TIRE CO INC,2009,DEAD,"CAPPLY CORD, AND PNUMERIC TIRE WITH THE SAME",
US8925606B2,MICHELIN & CIE,2008,DEAD,Vehicle tire comprising a tread composed of a plurality of compounds and a layer of circumferential reinforcement elements of variable pitch,
US9156316B2,MICHELIN & CIE,2008,DEAD,Vehicle tire with interrupted carcass and comprising a layer of circumferential reinforcement elements,"It enhances wear resistance and grip by optimizing the distribution of circumferential reinforcement elements with variable pitch, which improves stability and durability."
EP2048005B1,CONTINENTAL REIFEN DEUTSCHLAND,2007,ALIVE,Pneumatic tire for vehicles,
WO2007131581A1,CONTINENTAL AG,2006,DEAD,PNEUMATIC VEHICLE TYRE WITH BELT BANDAGE,
US7712498B2,SUMITOMO RUBBER IND LTD,2005,DEAD,Run flat tire,
KR20070012264A,THE GOODYEAR TIRE & RUBBER CO,2005,ALIVE,MONOPLY PNEUMATIC RUN-FLAT TIRE,
WO2006035940A1,BRIDGESTONE CORP,2004,DEAD,PNEUMATIC RADIAL TIRE,
WO2005002884A1,PIRELLI SPA,2003,DEAD,TYRE WITH IMPROVED BELT STRUCTURE,
US20040108037A1,BOOZER MATTHEW,2002,DEAD,Pneumatic tire crown reinforcement,"The use of high modulus at high stress cords in the second reinforcement plies allows the tire to flatten the transverse curvature at low and moderate speeds, improving wear performance."
WO2003086783A1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,2002,DEAD,PNEUMATIC TIRE CROWN REINFORCEMENT,
WO2004041554A1,FUJI SEIKO CO LTD,2002,DEAD,RADIAL TIRE WITH CIRCUMFERENTIAL SPIRALLY WOUND BELT LAYER,
EP1127718A2,THE GOODYEAR TIRE & RUBBER CO,2000,DEAD,Runflat tire with dual-modulus underlay,
KR20020040929A,KUMHO IND CO LTD,2000,DEAD,- Tire Caply Cord for Tire Polyethylenenaphthalate-nylon Hybrid,"This results in a composite fiber that enhances the adhesion between the rubber and the tire cap ply, improving tire life and stability."
JP2001163005A,BRIDGESTONE CORP,1999,DEAD,RADIAL TIRE,"The spiral-wound structure of the fiber cord enhances circumferential rigidity and vibration suppression, leading to improved tire contact properties and wear resistance."
US6460585B1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1998,DEAD,Tire with tread compound contacting belt cords,
EP0990539A2,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1998,DEAD,Tire with tread compound applied directly on the radially outermost reinforcement layer of belt reinforcement textile cords,
CA2290472A1,THE GOODYEAR TIRE & RUBBER CO,1997,DEAD,TIRE WITH IMPROVED REMOVABLE TIRE TREAD BELT,"Also, the improved track belt will maintain a flatter tread profile which in turn will improve tread life and durability."
EP0749854A1,BRIDGESTONE CORP,1995,DEAD,Radial tire,"Conventional tires often suffer from wear resistance degradation, handling instability, and road noise that is not effectively minimized by softening the tread rubber or increasing belt tension."
JPH06270606A,SUMITOMO RUBBER IND LTD,1993,DEAD,PNEUMATIC TYRE,
GB776728A,US RUBBER CO,1954,DEAD,Improvements in method of making pneumatic tyres,
