doc_id,assignee,year,legal_status,wear,Twist / cord geometry,Graded / dual-modulus,Adhesion / dip system,Core-sheath / wrap,Two-layer / edge-cover,Position vs grooves,Zoned density (center/edge)
WO1980000069A1,THE GOODYEAR TIRE & RUBBER CO,1978,DEAD,False,True,True,True,True,False,False,False
WO2001032446A1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1999,DEAD,False,True,True,True,False,False,False,False
US6460585B1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1998,DEAD,True,True,True,True,False,False,False,False
EP4140770A1,THE GOODYEAR TIRE & RUBBER CO,2021,ALIVE,False,True,True,True,False,False,False,False
WO2018034060A1,BRIDGESTONE CORP,2016,DEAD,False,True,True,False,False,True,True,False
JP2003182307A,SUMITOMO RUBBER IND LTD,2001,DEAD,False,True,True,True,False,True,False,True
WO2015163325A1,SUMITOMO RUBBER IND LTD,2014,DEAD,True,True,True,False,False,True,True,False
WO2001026919A1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1999,DEAD,False,True,True,True,False,False,True,False
US4333507A,THE GOODYEAR TIRE & RUBBER CO,1978,DEAD,False,True,True,True,True,False,False,False
JP2013220755A,BRIDGESTONE CORP,2012,DEAD,True,False,False,False,False,True,False,False
WO2017048207A1,KORDSA GLOBAL ENDUSTRIYEL IPLIK VE KORD BEZI SANAYI VE TICARET AS,2015,DEAD,False,True,True,True,False,True,False,False
JP2010179689A,YOKOHAMA RUBBER CO LTD,2009,DEAD,False,False,True,True,False,False,False,False
US6425426B1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1999,DEAD,False,True,True,True,False,False,False,False
EP1106390A1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1999,DEAD,False,True,True,True,False,False,False,False
EP0990539A2,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1998,DEAD,True,True,True,True,False,False,False,False
WO2018230265A1,BRIDGESTONE CORP,2017,DEAD,True,True,True,True,True,False,True,False
WO2019116766A1,BRIDGESTONE CORP,2017,DEAD,False,True,True,True,True,False,False,False
WO2018203852A1,KORDSA TEKNIK TEKSTIL AS,2017,DEAD,False,True,False,True,False,False,False,False
US20110048607A1,HANADA RYOJI,2009,DEAD,False,True,True,False,False,True,False,False
WO2018097082A1,BRIDGESTONE CORP,2016,DEAD,False,True,True,True,True,True,True,False
WO2015137901A1,KORDSA GLOBAL ENDUSTRIYEL IPLIK VE KORD BEZI SANAY,2014,DEAD,False,True,True,True,False,False,False,False
WO2024135161A1,YOKOHAMA RUBBER CO LTD,2022,ALIVE,False,True,False,True,True,False,False,False
JP2002144814A,SUMITOMO RUBBER IND LTD,2000,DEAD,False,True,True,False,False,True,False,False
WO2018147450A1,BRIDGESTONE CORP,2017,DEAD,False,True,True,True,True,True,True,False
EP3854609A1,THE GOODYEAR TIRE & RUBBER CO,2020,ALIVE,False,True,False,True,False,False,False,False
WO2016190152A1,BRIDGESTONE CORP,2015,DEAD,True,True,False,True,True,False,True,False
US7712498B2,SUMITOMO RUBBER IND LTD,2005,DEAD,True,False,True,False,False,True,False,True
CN114103555A,SUMITOMO RUBBER IND LTD,2020,ALIVE,True,True,False,False,False,False,True,False
JP2001163005A,BRIDGESTONE CORP,1999,DEAD,True,True,True,True,True,False,False,False
KR20070012264A,THE GOODYEAR TIRE & RUBBER CO,2005,ALIVE,True,True,True,False,True,False,False,False
