doc_id,assignee,year,legal_status,title,wear_snippet
CN120156143A,"SHANDONG FENGYUAN TIRE MFG CO LTD (ZAOZHUANG CITY, CN)",2025,ALIVE,"Reinforcing layer cord fabric, three-proofing tire with angle reinforcement and preparation method",
CN114103555A,SUMITOMO RUBBER IND LTD,2020,ALIVE,Tire,
JP2020200032A,THE GOODYEAR TIRE & RUBBER CO,2019,ALIVE,RADIAL TIRE,
WO2021124186A1,BRIDGESTONE EUROPE NVSA,2019,DEAD,TYRE WITH BELT PACKAGE REINFORCEMENT ELEMENT,
JP2020185987A,THE GOODYEAR TIRE & RUBBER CO,2019,DEAD,RADIAL TIRE,
WO2018230265A1,BRIDGESTONE CORP,2017,DEAD,TIRE,"The present invention addresses the problem of suppressing the occurrence, in a tire having a spiral cord layer formed by winding a reinforcement cord in a spiral shape, of uneven wear due to the spiral cord layer."
JP2017186002A,BRIDGESTONE CORP,2016,ALIVE,PNEUMATIC TIRE,
WO2017188408A1,BRIDGESTONE CORP,2016,DEAD,RUN FLAT RADIAL TIRE,
WO2018051763A1,YOKOHAMA RUBBER CO LTD,2016,DEAD,PNEUMATIC TIRE,
WO2016190152A1,BRIDGESTONE CORP,2015,DEAD,"REINFORCEMENT MEMBER FOR TIRES, AND TIRE USING SAME",
WO2017048208A1,KORDSA GLOBAL ENDUSTRIYEL IPLIK VE KORD BEZI SANAYI VE TICARET AS,2015,DEAD,A PLIED TWISTED CAP PLY REINFORCEMENT HYBRID YARN,
US20160288573A1,THE GOODYEAR TIRE & RUBBER CO,2015,DEAD,CONTINUOUS CROWN REINFORCEMENT FOR A PNEUMATIC TIRE,
WO2015178366A1,YOKOHAMA RUBBER CO LTD,2014,DEAD,PNEUMATIC TIRE,
WO2015163325A1,SUMITOMO RUBBER IND LTD,2014,DEAD,"PNEUMATIC TIRE, AND PNEUMATIC TIRE PRODUCTION METHOD",
CN105026187A,"COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN FRANCE CORP (CLERMONT-FERRAND, FR)",2013,DEAD,Self-sealing tyre comprising additional sidewall reinforcement,
WO2014091429A1,PIRELLI SPA,2012,DEAD,TYRE FOR VEHICLE WHEELS,
JP2013220755A,BRIDGESTONE CORP,2012,DEAD,PNEUMATIC RADIAL TIRE AND METHOD OF MANUFACTURING THE SAME,
JP2013001390A,THE GOODYEAR TIRE & RUBBER CO,2011,ALIVE,RADIAL TIRE FOR AIRCRAFT,
DE102010000013A1,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2010,DEAD,Vehicle tires,
EP2380754A2,THE GOODYEAR TIRE & RUBBER CO,2010,DEAD,Hybrid cord in a belt ply for a pneumatic tire,
EP2380755A2,THE GOODYEAR TIRE & RUBBER CO,2010,ALIVE,Overlay ply covering the belt ply for a pneumatic tire,
EP2048005B1,CONTINENTAL REIFEN DEUTSCHLAND,2007,ALIVE,Pneumatic tire for vehicles,
WO2007131581A1,CONTINENTAL AG,2006,DEAD,PNEUMATIC VEHICLE TYRE WITH BELT BANDAGE,
US7712498B2,SUMITOMO RUBBER IND LTD,2005,DEAD,Run flat tire,
KR20070012264A,THE GOODYEAR TIRE & RUBBER CO,2005,ALIVE,MONOPLY PNEUMATIC RUN-FLAT TIRE,
WO2005002884A1,PIRELLI SPA,2003,DEAD,TYRE WITH IMPROVED BELT STRUCTURE,
WO2003086783A1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,2002,DEAD,PNEUMATIC TIRE CROWN REINFORCEMENT,
US20040108037A1,BOOZER MATTHEW,2002,DEAD,Pneumatic tire crown reinforcement,"The use of high modulus at high stress cords in the second reinforcement plies allows the tire to flatten the transverse curvature at low and moderate speeds, improving wear performance."
JP2001163005A,BRIDGESTONE CORP,1999,DEAD,RADIAL TIRE,"The spiral-wound structure of the fiber cord enhances circumferential rigidity and vibration suppression, leading to improved tire contact properties and wear resistance."
US6460585B1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1998,DEAD,Tire with tread compound contacting belt cords,
EP0990539A2,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1998,DEAD,Tire with tread compound applied directly on the radially outermost reinforcement layer of belt reinforcement textile cords,
